name	nprots	nhits	nfull	genus	ngenus	species	nspecies	avgpid	Superkingdom	kingdom	phylum	class	order	family	genus	source	source
bin_360	1289	1265	901	Bifidobacterium	1259	Bifidobacterium pseudolongum subsp. pseudolongum OX=31954 	757	98.78	Bacteria	NA	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Donor1_specific	Donor1 specific
bin_108	1378	1332	1192	Bifidobacterium	1329	Bifidobacterium thermacidophilum subsp. porcinum OX=212365 	445	97.25	Bacteria	NA	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Donor1_specific	Donor1 specific
bin_116	1563	1523	1416	Bifidobacterium	1510	Bifidobacterium thermophilum OX=33905 	470	96.01	Bacteria	NA	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Donor1_specific	Donor1 specific
bin_209	3054	2922	2499	Bilophila	2736	Bilophila wadsworthia 3_1_6 OX=563192 	2376	96.08	Bacteria	NA	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Donors_shared	Donors shared
bin_541	2104	2020	1457	Blautia	1476	Blautia sp. CAG:257 OX=1262756 	1270	82.23	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Donor1_specific	Donor1 specific
bin_205	2336	2212	1786	Blautia	697	Blautia sp. CAG:257 OX=1262756 	228	75.81	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Donors_shared	Donors shared
bin_419	2417	2339	2043	Butyricicoccus	2192	Butyricicoccus pullicaecorum OX=501571 	1360	95.44	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyricicoccus	Others	Others
bin_94	2440	2365	2113	Butyricicoccus	2215	Butyricicoccus pullicaecorum OX=501571 	1385	95.3	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyricicoccus	Others	Others
bin_199	2524	2423	2136	Butyricicoccus	2137	Butyricicoccus pullicaecorum OX=501571 	1352	94.34	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyricicoccus	Others	Others
bin_485	2707	2648	1919	Butyricimonas	2511	Butyricimonas virosa OX=544645 	2128	99.07	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	Donors_shared	Donors shared
bin_328	1777	1769	1685	Campylobacter	1768	Campylobacter coli OX=195 	1622	99.55	Bacteria	NA	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Others	Others
bin_129	1900	1889	1790	Campylobacter	1888	Campylobacter coli OX=195 	1743	99.54	Bacteria	NA	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Others	Others
bin_504	1787	1779	1704	Campylobacter	1778	Campylobacter coli OX=195 	1631	99.55	Bacteria	NA	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Others	Others
bin_168	1786	1778	1703	Campylobacter	1777	Campylobacter coli OX=195 	1630	99.55	Bacteria	NA	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Others	Others
bin_263	1877	1868	1802	Campylobacter	1867	Campylobacter coli OX=195 	1728	99.56	Bacteria	NA	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Others	Others
bin_405	1737	1727	1580	Campylobacter	1725	Campylobacter coli OX=195 	1616	99.57	Bacteria	NA	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Others	Others
bin_371	908	883	636	Chlamydia	870	Chlamydia suis OX=83559 	829	97.61	Bacteria	NA	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Donor1_specific	Donor1 specific
bin_361	2272	2232	2179	Enterococcus	1117	Enterococcus faecalis OX=1351  	1117	99.13	Bacteria	NA	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Others	Others
bin_218	1560	1498	1430	Clostridia	1076	Clostridia bacterium OX=2044939 	1073	84.51	Bacteria	NA	Firmicutes	Clostridia				Donors_shared	Donors shared
bin_149	1524	1478	1397	Clostridia	1076	Clostridia bacterium OX=2044939 	1076	84.78	Bacteria	NA	Firmicutes	Clostridia				Donors_shared	Donors shared
bin_241	2361	2223	1808	Clostridiales	1097	Clostridiales bacterium OX=1898207 	1079	74.64	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_286	1689	1612	1483	Clostridiales	783	Clostridiales bacterium OX=1898207 	774	71.94	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_48	2263	2026	1841	Clostridiales	687	Clostridiales bacterium OX=1898207 	673	57.33	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_494	1269	1181	728	Clostridiales	575	Clostridiales bacterium OX=1898207 	564	78.48	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donor2_specific	Donor2 specific
bin_65	2732	2469	2331	Clostridiales	394	Clostridiales bacterium OX=1898207 	366	55.21	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_88	2595	2367	2172	Clostridiales	587	Clostridiales bacterium OX=1898207 	555	57.45	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donor2_specific	Donor2 specific
bin_187	1681	1620	1442	Clostridiales	766	Clostridiales bacterium OX=1898207 	760	70.84	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_128	2634	2380	1970	Clostridiales	532	Clostridiales bacterium OX=1898207 	511	56.49	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_214	2465	2244	2032	Clostridiales	745	Clostridiales bacterium OX=1898207 	726	57.98	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_106	2350	2090	1539	Clostridiales	461	Clostridiales bacterium OX=1898207 	439	56.25	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_26	2502	2294	2092	Clostridiales	560	Clostridiales bacterium OX=1898207 	537	58.13	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_203	1634	1591	1406	Clostridiales	1249	Clostridiales bacterium OX=1898207 	1245	84.6	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_446	1325	1265	1031	Clostridiales	538	Clostridiales bacterium OX=1898207 	530	69.93	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_95	1710	1666	1536	Clostridiales	976	Clostridiales bacterium OX=1898207 	974	92.62	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_8	2487	2235	1842	Clostridiales	334	Clostridiales bacterium OX=1898207 	320	55.29	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_254	1293	1209	941	Clostridiales	708	Clostridiales bacterium OX=1898207 	699	69.18	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_147	1898	1797	1606	Clostridiales	625	Clostridiales bacterium OX=1898207 	604	70.03	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_32	1786	1689	1603	Clostridiales	812	Clostridiales bacterium OX=1898207 	800	71.5	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_163	2320	2121	1762	Clostridiales	512	Clostridiales bacterium OX=1898207 	493	58.01	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_228	2362	2134	1946	Firmicutes	467	Clostridiales bacterium OX=1898207 	339	55.59	Bacteria	NA	Firmicutes	Clostridia	Clostridiales			Donors_shared	Donors shared
bin_281	4190	4138	4007	Clostridium	2300	Clostridium clostridioforme CAG:511 OX=1263066 	2092	99.1	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_464	4295	4228	3909	Clostridium	2408	Clostridium clostridioforme CAG:511 OX=1263066 	2265	98.98	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_526	3295	3253	3053	Clostridium	1892	Clostridium clostridioforme CAG:511 OX=1263066 	1755	99.25	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_342	4487	4434	4274	Clostridium	2416	Clostridium clostridioforme CAG:511 OX=1263066 	2248	98.8	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_429	3610	3546	2329	Clostridium	2118	Clostridium clostridioforme CAG:511 OX=1263066 	1945	99.17	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_216	4537	4503	4444	Clostridium	2265	Clostridium clostridioforme CAG:511 OX=1263066 	2113	99.43	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_204	4083	4007	3902	Clostridium	2810	Clostridium innocuum OX=1522 	2653	98.9	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Others	Others
bin_109	4090	4010	3788	Clostridium	2830	Clostridium innocuum OX=1522 	2674	98.93	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Others	Others
bin_96	2256	2235	2011	Corynebacterium	1728	Corynebacterium xerosis OX=1725	1728	98.81	Bacteria	NA	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Donors_shared	Donors shared
bin_303	3033	2991	2924	Clostridium	2955	Clostridium perfringens OX=1502 	2437	98.25	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_546	2959	2920	2430	Clostridium	2895	Clostridium perfringens OX=1502 	2410	98.71	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_572	2473	2434	1820	Clostridium	2405	Clostridium perfringens OX=1502 	2021	98.41	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_4	3085	3049	2911	Clostridium	2995	Clostridium perfringens OX=1502 	2479	97.78	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_50	2235	2173	1987	Clostridium	680	Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19) OX=411468 	608	79.17	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_64	2819	2782	2713	Clostridium	2113	Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19) OX=411468 	2102	99.08	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_364	2469	2415	1677	Clostridium	1774	Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19) OX=411468 	1772	99.57	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_294	2911	2864	2472	Clostridium	2178	Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19) OX=411468 	2165	98.86	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_467	2526	2493	2232	Clostridium	1988	Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19) OX=411468 	1986	99.37	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_413	2619	2565	2151	Clostridium	1880	Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19) OX=411468 	1878	99.67	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_78	2415	2343	2095	Clostridium	715	Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19) OX=411468 	635	80.03	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_274	3843	3689	3132	Clostridium	3538	Clostridium sp. 7_2_43FAA OX=457396 	3119	94.93	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Others	Others
bin_374	3859	3727	3538	Clostridium	3559	Clostridium sp. 7_2_43FAA OX=457396 	3143	94.87	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Others	Others
bin_417	3872	3729	3589	Clostridium	3547	Clostridium sp. 7_2_43FAA OX=457396 	3124	94.85	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Others	Others
bin_219	3855	3718	3595	Clostridium	3540	Clostridium sp. 7_2_43FAA OX=457396 	3119	94.84	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Others	Others
bin_549	3883	3754	3534	Clostridium	3574	Clostridium sp. 7_2_43FAA OX=457396 	3154	94.95	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Others	Others
bin_190	1437	1398	1360	Clostridium	1224	Clostridium sp. CAG:1024 OX=1262770 	1215	94.36	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Donors_shared	Donors shared
bin_1	1672	1630	1570	Collinsella	1515	Collinsella sp. CAG:289 OX=1262851 	1356	95.28	Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Others	Others
bin_285	1650	1622	1552	Collinsella	1557	Collinsella sp. OX=1965294 	836	96.51	Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Donors_shared	Donors shared
bin_287	1643	1617	1279	Collinsella	1557	Collinsella sp. OX=1965294 	836	96.74	Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Donors_shared	Donors shared
bin_291	1430	1407	1304	Collinsella	1393	Collinsella sp. OX=1965294 	783	97.89	Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Donor1_specific	Donor1 specific
bin_567	1501	1476	1099	Collinsella	1442	Collinsella sp. OX=1965294 	787	96.96	Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Donors_shared	Donors shared
bin_397	1585	1549	1220	Collinsella	1493	Collinsella sp. OX=1965294 	818	96.72	Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Donors_shared	Donors shared
bin_202	3231	3167	2925	Coprococcus	1925	Coprococcus sp. AM27-12LB OX=2293092 	1141	97.48	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Others	Others
bin_495	2351	2309	1957	Coprococcus	1757	Coprococcus sp. AM27-12LB OX=2293092 	1084	98.88	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Others	Others
bin_260	2376	2354	2168	Coprococcus	1748	Coprococcus sp. AM27-12LB OX=2293092 	1104	98.83	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Others	Others
bin_579	2623	2588	2539	Coprococcus	1873	Coprococcus sp. HPP0048 OX=1078091 	1178	99.01	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Others	Others
bin_576	2632	2591	2544	Coprococcus	1863	Coprococcus sp. HPP0048 OX=1078091 	1175	98.92	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Others	Others
bin_434	1484	1454	1011	Coprococcus	1111	Coprococcus sp. HPP0048 OX=1078091 	538	99.62	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Others	Others
bin_339	2628	2586	2536	Coprococcus	1890	Coprococcus sp. HPP0048 OX=1078091 	1173	98.6	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Others	Others
bin_395	2255	2215	1809	Coprococcus	1665	Coprococcus sp. HPP0048 OX=1078091 	958	99.54	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Others	Others
bin_141	2912	2872	2791	Coprococcus	1938	Coprococcus sp. HPP0048 OX=1078091 	1194	98.74	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Others	Others
bin_384	1344	1233	937	Coriobacteriia	584	Coriobacteriia bacterium OX=2052159 	584	63.25	Bacteria	NA	Actinobacteria	Coriobacteriia				Donor1_specific	Donor1 specific
