Genome	Order_VC_predicted	Family_VC_predicted	Genus_VC_predicted	VC	VC Subcluster	VC Status
Acidianus~filamentous~virus~7	['Ligamenvirales']	['Lipothrixviridae']	['Betalipothrixvirus']	23_0	VC_23_0	Clustered
Acidianus~filamentous~virus~8	['Ligamenvirales']	['Lipothrixviridae']	['Betalipothrixvirus']	23_0	VC_23_0	Clustered
Acidianus~filamentous~virus~9	['Ligamenvirales']	['Lipothrixviridae']	['Betalipothrixvirus']	23_0	VC_23_0	Clustered
Acidianus~spindle-shaped~virus~1	Unassigned	['Fuselloviridae']	['Alphafusellovirus', 'Betafusellovirus']	26_0	VC_26_0	Clustered
Acinetobacter~phage~AB1	['Caudovirales']	['Myoviridae']	['Obolenskvirus', 'Ap22virus']	34_0	VC_34_0	Clustered
Acinetobacter~phage~AB3	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~AM101	['Caudovirales']	['Myoviridae']	Unassigned	38_2	VC_38_2	Clustered
Acinetobacter~phage~AP22	['Caudovirales']	['Myoviridae']	['Obolenskvirus', 'Ap22virus']	34_0	VC_34_0	Clustered
Acinetobacter~phage~AbKT21phiIII	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~AbP2	['Caudovirales']	['Myoviridae']	['Obolenskvirus', 'Ap22virus']	34_0	VC_34_0	Clustered
Acinetobacter~phage~AbTZA1	['Caudovirales']	['Myoviridae']	Unassigned	38_2	VC_38_2	Clustered
Acinetobacter~phage~Abp1	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~Ac42	['Caudovirales']	['Myoviridae']	Unassigned	38_4	VC_38_4	Clustered/Singleton
Acinetobacter~phage~Acj61	['Caudovirales']	['Myoviridae']	Unassigned	38_0	VC_38_0	Clustered/Singleton
Acinetobacter~phage~Acj9	['Caudovirales']	['Myoviridae']	Unassigned	38_1	VC_38_1	Clustered/Singleton
Acinetobacter~phage~Fri1	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~IME-AB2	['Caudovirales']	['Myoviridae']	['Obolenskvirus', 'Ap22virus']	34_0	VC_34_0	Clustered
Acinetobacter~phage~IME200	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~IMEAB3	['Caudovirales']	['Siphoviridae']	['Lokivirus', 'Septima3virus', 'Titanvirus', 'Septimatrevirus']	1_0	VC_1_0	Clustered
Acinetobacter~phage~KARL-1	['Caudovirales']	['Myoviridae']	Unassigned	38_2	VC_38_2	Clustered
Acinetobacter~phage~LZ35	['Caudovirales']	['Myoviridae']	['Obolenskvirus', 'Ap22virus']	34_0	VC_34_0	Clustered
Acinetobacter~phage~Loki	['Caudovirales']	['Siphoviridae']	['Lokivirus', 'Septima3virus', 'Titanvirus', 'Septimatrevirus']	1_0	VC_1_0	Clustered
Acinetobacter~phage~Petty	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~SH-Ab~15519	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~WCHABP1	['Caudovirales']	['Myoviridae']	['Obolenskvirus', 'Ap22virus']	34_0	VC_34_0	Clustered
Acinetobacter~phage~WCHABP12	['Caudovirales']	['Myoviridae']	['Obolenskvirus', 'Ap22virus']	34_0	VC_34_0	Clustered
Acinetobacter~phage~WCHABP5	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~YMC-13-01-C62	['Caudovirales']	['Myoviridae']	['Obolenskvirus', 'Ap22virus']	34_0	VC_34_0	Clustered
Acinetobacter~phage~YMC/09/02/B1251	['Caudovirales']	['Siphoviridae']	['Vieuvirus']	46_0	VC_46_0	Clustered
Acinetobacter~phage~YMC11/11/R3177	['Caudovirales']	['Siphoviridae']	['Vieuvirus']	46_0	VC_46_0	Clustered
Acinetobacter~phage~YMC11/12/R2315	['Caudovirales']	['Myoviridae']	['Obolenskvirus', 'Ap22virus']	34_0	VC_34_0	Clustered
Acinetobacter~phage~ZZ1	['Caudovirales']	['Myoviridae']	Unassigned	38_3	VC_38_3	Clustered/Singleton
Acinetobacter~phage~phiAB1	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~phiAB6	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~vB_AbaM_Acibel004	['Caudovirales']	['Myoviridae']	['Saclayvirus']	48_1	VC_48_1	Clustered/Singleton
Acinetobacter~phage~vB_AbaM_B09_Aci01-1	['Caudovirales']	['Myoviridae']	['Saclayvirus']	48_0	VC_48_0	Clustered
Acinetobacter~phage~vB_AbaM_B09_Aci02-2	['Caudovirales']	['Myoviridae']	['Saclayvirus']	48_0	VC_48_0	Clustered
Acinetobacter~phage~vB_AbaM_B09_Aci05	['Caudovirales']	['Myoviridae']	['Saclayvirus']	48_0	VC_48_0	Clustered
Acinetobacter~phage~vB_AbaM_ME3	['Caudovirales']	['Myoviridae']	['Metrivirus']	53_0	VC_53_0	Clustered/Singleton
Acinetobacter~phage~vB_AbaM_PhT2	['Caudovirales']	['Myoviridae']	Unassigned	38_2	VC_38_2	Clustered
Acinetobacter~phage~vB_AbaM_phiAbaA1	['Caudovirales']	['Myoviridae']	['Saclayvirus']	48_0	VC_48_0	Clustered
Acinetobacter~phage~vB_AbaP_46-62_Aci07	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~vB_AbaP_AS11	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~vB_AbaP_AS12	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~vB_AbaP_Acibel007	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~vB_AbaP_Apostate	['Caudovirales']	['Myoviridae']	Unassigned	38_2	VC_38_2	Clustered
Acinetobacter~phage~vB_AbaP_B09_Aci08	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~vB_AbaP_B1	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~vB_AbaP_B3	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~vB_AbaP_B5	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~vB_AbaP_Berthold	['Caudovirales']	['Myoviridae']	Unassigned	38_2	VC_38_2	Clustered
Acinetobacter~phage~vB_AbaP_D2	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~vB_AbaP_Kimel	['Caudovirales']	['Myoviridae']	Unassigned	38_2	VC_38_2	Clustered
Acinetobacter~phage~vB_AbaP_Konradin	['Caudovirales']	['Myoviridae']	Unassigned	38_2	VC_38_2	Clustered
Acinetobacter~phage~vB_AbaP_Lazarus	['Caudovirales']	['Myoviridae']	Unassigned	38_2	VC_38_2	Clustered
Acinetobacter~phage~vB_AbaP_PD-6A3	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~vB_AbaP_PD-AB9	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~vB_AbaS_TRS1	['Caudovirales']	['Siphoviridae']	['Vieuvirus']	46_0	VC_46_0	Clustered
Acinetobacter~phage~vB_ApiM_fHyAci03	['Caudovirales']	['Myoviridae']	Unassigned	38_2	VC_38_2	Clustered
Acinetobacter~phage~vB_ApiP_P1	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~phage~vB_ApiP_P2	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Friunavirus', 'Pettyvirus', 'Fri1virus', 'Daemvirus']	37_0	VC_37_0	Clustered
Acinetobacter~virus~133	['Caudovirales']	['Myoviridae']	Unassigned	38_5	VC_38_5	Clustered/Singleton
Actinomyces~virus~Av1	['Caudovirales']	['Podoviridae']	Unassigned	457_0	VC_457_0	Clustered/Singleton
Actinoplanes~phage~phiAsp2	['Caudovirales']	['Siphoviridae']	Unassigned	61_0	VC_61_0	Clustered/Singleton
Aeromonas~phage~2-L372D	['Caudovirales']	['Myoviridae']	Unassigned	71_0	VC_71_0	Clustered
Aeromonas~phage~25AhydR2PP	['Caudovirales']	['Autographiviridae']	['Cronosvirus', 'Pokrovskaiavirus', 'Pienvirus', 'Aerosvirus', 'Panjvirus', 'Wanjuvirus', 'Aghbyvirus', 'Ahphunavirus']	79_0	VC_79_0	Clustered
Aeromonas~phage~2_L372X	['Caudovirales']	['Myoviridae']	Unassigned	71_0	VC_71_0	Clustered
Aeromonas~phage~4_4572	['Caudovirales']	['Podoviridae']	Unassigned	86_0	VC_86_0	Clustered
Aeromonas~phage~4_L372D	['Caudovirales']	['Myoviridae']	Unassigned	71_1	VC_71_1	Clustered/Singleton
Aeromonas~phage~4_L372XY	['Caudovirales']	['Myoviridae']	Unassigned	71_2	VC_71_2	Clustered/Singleton
Aeromonas~phage~AS-gz	['Caudovirales']	['Myoviridae']	['Tulanevirus', 'Secunda5virus']	39_1	VC_39_1	Clustered
Aeromonas~phage~AS-sw	['Caudovirales']	['Myoviridae']	Unassigned	40_1	VC_40_1	Clustered
Aeromonas~phage~AS-zj	['Caudovirales']	['Myoviridae']	Unassigned	40_1	VC_40_1	Clustered
Aeromonas~phage~Aes012	['Caudovirales']	['Myoviridae']	['Tulanevirus', 'Secunda5virus']	39_1	VC_39_1	Clustered
Aeromonas~phage~Aes508	['Caudovirales']	['Myoviridae']	['Tulanevirus', 'Secunda5virus']	39_1	VC_39_1	Clustered
Aeromonas~phage~Ahp1	['Caudovirales']	['Autographiviridae']	['Cronosvirus', 'Pokrovskaiavirus', 'Pienvirus', 'Aerosvirus', 'Panjvirus', 'Wanjuvirus', 'Aghbyvirus', 'Ahphunavirus']	79_0	VC_79_0	Clustered
Aeromonas~phage~CC2	['Caudovirales']	['Myoviridae']	Unassigned	40_1	VC_40_1	Clustered
Aeromonas~phage~CF7	['Caudovirales']	['Autographiviridae']	['Cronosvirus', 'Pokrovskaiavirus', 'Pienvirus', 'Aerosvirus', 'Panjvirus', 'Wanjuvirus', 'Aghbyvirus', 'Ahphunavirus']	79_0	VC_79_0	Clustered
Aeromonas~phage~LAh9	['Caudovirales']	['Podoviridae']	Unassigned	86_0	VC_86_0	Clustered
Aeromonas~phage~LAh_6	['Caudovirales']	['Podoviridae']	Unassigned	86_0	VC_86_0	Clustered
Aeromonas~phage~LAh_8	['Caudovirales']	['Podoviridae']	Unassigned	86_0	VC_86_0	Clustered
Aeromonas~phage~PX29	['Caudovirales']	['Myoviridae']	Unassigned	40_0	VC_40_0	Clustered
Aeromonas~phage~ZPAH7	['Caudovirales']	['Autographiviridae']	['Cronosvirus', 'Pokrovskaiavirus', 'Pienvirus', 'Aerosvirus', 'Panjvirus', 'Wanjuvirus', 'Aghbyvirus', 'Ahphunavirus']	79_0	VC_79_0	Clustered
Aeromonas~phage~pAh6-C	['Caudovirales']	['Chaseviridae']	['Yushanvirus', 'Pahsextavirus']	99_0	VC_99_0	Clustered
Aeromonas~phage~pIS4-A	['Caudovirales']	['Siphoviridae']	['Roufvirus', 'Pis4avirus']	100_0	VC_100_0	Clustered
Aeromonas~phage~phiA8-29	['Caudovirales']	['Ackermannviridae']	Unassigned	32_5	VC_32_5	Clustered/Singleton
Aeromonas~phage~phiAS4	['Caudovirales']	['Myoviridae']	['Tulanevirus', 'Secunda5virus']	39_1	VC_39_1	Clustered
Aeromonas~phage~phiAS5	['Caudovirales']	['Myoviridae']	Unassigned	40_0	VC_40_0	Clustered
Aeromonas~phage~phiAS7	['Caudovirales']	['Autographiviridae']	['Cronosvirus', 'Pokrovskaiavirus', 'Pienvirus', 'Aerosvirus', 'Panjvirus', 'Wanjuvirus', 'Aghbyvirus', 'Ahphunavirus']	79_0	VC_79_0	Clustered
Aeromonas~virus~25	['Caudovirales']	['Myoviridae']	['Tulanevirus', 'Secunda5virus']	39_1	VC_39_1	Clustered
Aeromonas~virus~31	['Caudovirales']	['Myoviridae']	['Biquartavirus', 'Secunda5virus']	39_0	VC_39_0	Clustered
Aeromonas~virus~44RR2	['Caudovirales']	['Myoviridae']	['Biquartavirus', 'Secunda5virus']	39_0	VC_39_0	Clustered
Aeromonas~virus~65	['Caudovirales']	['Myoviridae']	Unassigned	40_2	VC_40_2	Clustered/Singleton
Aeromonas~virus~Aeh1	['Caudovirales']	['Myoviridae']	Unassigned	40_0	VC_40_0	Clustered
Aeromonas~virus~phiO18P	['Caudovirales']	['Myoviridae']	['Seongnamvirus', 'Hp1virus', 'Canoevirus', 'Vulnificusvirus', 'Longwoodvirus', 'Catalunyavirus', 'Phitrevirus', 'Playavirus']	108_0	VC_108_0	Clustered
Aggregatibacter~phage~S1249	['Caudovirales']	['Myoviridae']	Unassigned	110_0	VC_110_0	Clustered
Aquamicrobium~phage~P14	['Caudovirales']	['Autographiviridae']	['Aqualcavirus', 'Percyvirus', 'Ampunavirus', 'Bifseptvirus', 'Higashivirus', 'Sukuvirus', 'Risjevirus', 'Scottvirus', 'Lullwatervirus', 'Pollyceevirus', 'Ermolevavirus', 'Kalppathivirus', 'Mguuvirus', 'Napahaivirus']	80_0	VC_80_0	Clustered
Archaeal~BJ1~virus	['Caudovirales']	['Siphoviridae']	Unassigned	131_0	VC_131_0	Clustered
Arthrobacter~phage~Abba	['Caudovirales']	['Myoviridae']	['Marthavirus']	132_0	VC_132_0	Clustered
Arthrobacter~phage~Abidatro	['Caudovirales']	['Siphoviridae']	['Coralvirus', 'Andrewvirus', 'Galaxyvirus']	135_0	VC_135_0	Clustered
Arthrobacter~phage~Adat	['Caudovirales']	['Podoviridae']	['Jasminevirus']	145_0	VC_145_0	Clustered
Arthrobacter~phage~Amigo	['Caudovirales']	['Siphoviridae']	['Amigovirus']	146_0	VC_146_0	Clustered
Arthrobacter~phage~Andrew	['Caudovirales']	['Siphoviridae']	['Coralvirus', 'Andrewvirus', 'Galaxyvirus']	135_0	VC_135_0	Clustered
Arthrobacter~phage~BarretLemon	['Caudovirales']	['Myoviridae']	['Marthavirus']	132_0	VC_132_0	Clustered
Arthrobacter~phage~Beans	['Caudovirales']	['Myoviridae']	['Marthavirus']	132_0	VC_132_0	Clustered
Arthrobacter~phage~Bennie	['Caudovirales']	['Siphoviridae']	['Korravirus']	136_0	VC_136_0	Clustered
Arthrobacter~phage~Brent	['Caudovirales']	['Myoviridae']	['Marthavirus']	132_0	VC_132_0	Clustered
Arthrobacter~phage~Bridgette	['Caudovirales']	['Siphoviridae']	['Bridgettevirus']	149_0	VC_149_0	Clustered
Arthrobacter~phage~CaptnMurica	['Caudovirales']	['Siphoviridae']	['Gordonvirus']	150_2	VC_150_2	Clustered
Arthrobacter~phage~Circum	['Caudovirales']	['Siphoviridae']	['Mudcatvirus']	150_1	VC_150_1	Clustered
Arthrobacter~phage~Colucci	['Caudovirales']	['Myoviridae']	['Radnorvirus', 'Arv1virus']	133_0	VC_133_0	Clustered
Arthrobacter~phage~Constance	['Caudovirales']	['Siphoviridae']	['Bridgettevirus']	149_0	VC_149_0	Clustered
Arthrobacter~phage~Coral	['Caudovirales']	['Siphoviridae']	['Coralvirus', 'Andrewvirus', 'Galaxyvirus']	135_0	VC_135_0	Clustered
Arthrobacter~phage~Decurro	['Caudovirales']	['Siphoviridae']	['Decurrovirus']	152_0	VC_152_0	Clustered
Arthrobacter~phage~DrManhattan	['Caudovirales']	['Siphoviridae']	['Manhattanvirus', 'Liebevirus', 'Yangvirus', 'Zetavirus']	148_0	VC_148_0	Clustered
Arthrobacter~phage~DrRobert	['Caudovirales']	['Siphoviridae']	['Korravirus']	136_0	VC_136_0	Clustered
Arthrobacter~phage~DrYang	['Caudovirales']	['Myoviridae']	['Radnorvirus', 'Arv1virus']	133_0	VC_133_0	Clustered
Arthrobacter~phage~Eileen	['Caudovirales']	['Siphoviridae']	['Bridgettevirus']	149_0	VC_149_0	Clustered
Arthrobacter~phage~Galaxy	['Caudovirales']	['Siphoviridae']	['Coralvirus', 'Andrewvirus', 'Galaxyvirus']	135_0	VC_135_0	Clustered
Arthrobacter~phage~Glenn	['Caudovirales']	['Siphoviridae']	['Korravirus']	136_0	VC_136_0	Clustered
Arthrobacter~phage~Gordon	['Caudovirales']	['Siphoviridae']	['Gordonvirus']	150_2	VC_150_2	Clustered
Arthrobacter~phage~HunterDalle	['Caudovirales']	['Siphoviridae']	['Korravirus']	136_0	VC_136_0	Clustered
Arthrobacter~phage~Jasmine	['Caudovirales']	['Podoviridae']	['Jasminevirus']	145_0	VC_145_0	Clustered
Arthrobacter~phage~Jawnski	['Caudovirales']	['Myoviridae']	['Marthavirus']	132_0	VC_132_0	Clustered
Arthrobacter~phage~Joann	['Caudovirales']	['Siphoviridae']	['Korravirus']	136_0	VC_136_0	Clustered
Arthrobacter~phage~Judy	['Caudovirales']	['Siphoviridae']	['Bridgettevirus']	149_0	VC_149_0	Clustered
Arthrobacter~phage~KBurrousTX	['Caudovirales']	['Myoviridae']	['Radnorvirus', 'Arv1virus']	133_0	VC_133_0	Clustered
Arthrobacter~phage~KellEzio	['Caudovirales']	['Siphoviridae']	['Kelleziovirus']	156_0	VC_156_0	Clustered
Arthrobacter~phage~Kepler	['Caudovirales']	['Siphoviridae']	['Coralvirus', 'Andrewvirus', 'Galaxyvirus']	135_0	VC_135_0	Clustered
Arthrobacter~phage~Kitkat	['Caudovirales']	['Siphoviridae']	['Kelleziovirus']	156_0	VC_156_0	Clustered
Arthrobacter~phage~Korra	['Caudovirales']	['Siphoviridae']	['Korravirus']	136_0	VC_136_0	Clustered
Arthrobacter~phage~Kuleana	['Caudovirales']	['Siphoviridae']	['Coralvirus', 'Andrewvirus', 'Galaxyvirus']	135_0	VC_135_0	Clustered
Arthrobacter~phage~Liebe	['Caudovirales']	['Siphoviridae']	['Manhattanvirus', 'Liebevirus', 'Yangvirus', 'Zetavirus']	148_0	VC_148_0	Clustered
Arthrobacter~phage~Lymara	['Caudovirales']	['Myoviridae']	['Radnorvirus', 'Arv1virus']	133_0	VC_133_0	Clustered
Arthrobacter~phage~Maja	['Caudovirales']	['Siphoviridae']	['Majavirus']	137_0	VC_137_0	Clustered
Arthrobacter~phage~Martha	['Caudovirales']	['Myoviridae']	['Marthavirus']	132_0	VC_132_0	Clustered
Arthrobacter~phage~Molivia	['Caudovirales']	['Siphoviridae']	['Amigovirus']	146_0	VC_146_0	Clustered
Arthrobacter~phage~Mudcat	['Caudovirales']	['Siphoviridae']	['Mudcatvirus']	150_1	VC_150_1	Clustered
Arthrobacter~phage~Mufasa8	['Caudovirales']	['Siphoviridae']	['Sonalivirus']	134_0	VC_134_0	Clustered
Arthrobacter~phage~Peas	['Caudovirales']	['Siphoviridae']	['Bridgettevirus']	149_0	VC_149_0	Clustered
Arthrobacter~phage~Piccoletto	['Caudovirales']	['Myoviridae']	['Marthavirus']	132_0	VC_132_0	Clustered
Arthrobacter~phage~Preamble	['Caudovirales']	['Siphoviridae']	['Korravirus']	136_0	VC_136_0	Clustered
Arthrobacter~phage~PrincessTrina	['Caudovirales']	['Myoviridae']	['Radnorvirus', 'Arv1virus']	133_0	VC_133_0	Clustered
Arthrobacter~phage~Pumancara	['Caudovirales']	['Siphoviridae']	['Korravirus']	136_0	VC_136_0	Clustered
Arthrobacter~phage~Shade	['Caudovirales']	['Myoviridae']	['Marthavirus']	132_0	VC_132_0	Clustered
Arthrobacter~phage~Sonali	['Caudovirales']	['Siphoviridae']	['Sonalivirus']	134_0	VC_134_0	Clustered
Arthrobacter~phage~Sonny	['Caudovirales']	['Myoviridae']	['Marthavirus']	132_0	VC_132_0	Clustered
Arthrobacter~phage~TripleJ	['Caudovirales']	['Siphoviridae']	['Luckybarnesvirus']	144_0	VC_144_0	Clustered
Arthrobacter~phage~Wayne	['Caudovirales']	['Siphoviridae']	['Korravirus']	136_0	VC_136_0	Clustered
Arthrobacter~phage~Yang	['Caudovirales']	['Siphoviridae']	['Manhattanvirus', 'Liebevirus', 'Yangvirus', 'Zetavirus']	148_0	VC_148_0	Clustered
Arthrobacter~phage~Zartrosa	['Caudovirales']	['Myoviridae']	['Marthavirus']	132_0	VC_132_0	Clustered
Arthrobacter~phage~vB_ArS-ArV2	['Caudovirales']	['Siphoviridae']	['Majavirus']	137_0	VC_137_0	Clustered
Arthrobacter~phage~vB_ArtM-ArV1	['Caudovirales']	['Myoviridae']	['Radnorvirus', 'Arv1virus']	133_0	VC_133_0	Clustered
Bacillus~phage~0305phi8-36	['Caudovirales']	['Myoviridae']	Unassigned	53_1	VC_53_1	Clustered/Singleton
Bacillus~phage~AR9	['Caudovirales']	['Myoviridae']	Unassigned	168_0	VC_168_0	Clustered
Bacillus~phage~BCD7	['Caudovirales']	['Myoviridae']	Unassigned	174_0	VC_174_0	Clustered
Bacillus~phage~BCP78	['Caudovirales']	['Myoviridae']	['Tsarbombavirus']	169_0	VC_169_0	Clustered
Bacillus~phage~BCP8-2	['Caudovirales']	['Myoviridae']	['Bc431virus']	169_4	VC_169_4	Clustered
Bacillus~phage~BCU4	['Caudovirales']	['Myoviridae']	['Tsarbombavirus']	169_0	VC_169_0	Clustered
Bacillus~phage~BPS10C	['Caudovirales']	['Myoviridae', 'Herelleviridae']	['Wphvirus']	170_0	VC_170_0	Clustered
Bacillus~phage~BPS13	['Caudovirales']	['Myoviridae', 'Herelleviridae']	['Wphvirus']	170_0	VC_170_0	Clustered
Bacillus~phage~BSP38	['Caudovirales']	['Herelleviridae']	['Nitunavirus']	169_3	VC_169_3	Clustered
Bacillus~phage~Bam35c	['Kalamavirales']	['Tectiviridae']	['Betatectivirus']	196_0	VC_196_0	Clustered
Bacillus~phage~Bcp1	['Caudovirales']	['Myoviridae']	['Bc431virus']	169_5	VC_169_5	Clustered
Bacillus~phage~Belinda	['Caudovirales']	['Myoviridae', 'Herelleviridae']	['Wphvirus']	170_0	VC_170_0	Clustered
Bacillus~phage~Bobb	['Caudovirales']	['Myoviridae']	['Agatevirus']	169_6	VC_169_6	Clustered
Bacillus~phage~Bp8p-C	['Caudovirales']	['Myoviridae']	['Agatevirus']	169_6	VC_169_6	Clustered
Bacillus~phage~Bp8p-T	['Caudovirales']	['Myoviridae']	['Agatevirus']	169_6	VC_169_6	Clustered
Bacillus~phage~CP-51	['Caudovirales']	['Myoviridae']	['Cp51virus']	171_1	VC_171_1	Clustered
Bacillus~phage~CampHawk	['Caudovirales']	['Myoviridae']	['Spo1virus']	171_0	VC_171_0	Clustered
Bacillus~phage~Carmen17	['Caudovirales']	['Siphoviridae']	Unassigned	209_0	VC_209_0	Clustered
Bacillus~phage~DIGNKC	['Caudovirales']	['Myoviridae', 'Herelleviridae']	['Wphvirus']	170_0	VC_170_0	Clustered
Bacillus~phage~Deep~Blue	['Caudovirales']	['Myoviridae']	['Bc431virus']	169_5	VC_169_5	Clustered
Bacillus~phage~DirtyBetty	['Caudovirales']	['Myoviridae', 'Herelleviridae']	['Wphvirus']	170_0	VC_170_0	Clustered
Bacillus~phage~Eldridge	['Caudovirales']	['Herelleviridae']	Unassigned	169_7	VC_169_7	Clustered/Singleton
Bacillus~phage~Eyuki	['Caudovirales']	['Myoviridae', 'Herelleviridae']	['Wphvirus']	170_0	VC_170_0	Clustered
Bacillus~phage~Fah	['Caudovirales']	['Siphoviridae']	['Wbetavirus']	198_0	VC_198_0	Clustered
Bacillus~phage~GIL16c	['Kalamavirales']	['Tectiviridae']	['Betatectivirus']	196_0	VC_196_0	Clustered
