mag	M00078:Heparan sulfate degradation	M00079:Keratan sulfate degradation	source	genus	species
bin_145	0	0	Donors shared	Lactobacillus	Lactobacillus amylovorus OX=1604 
bin_147	0	0	Donors shared	Clostridiales	Clostridiales bacterium OX=1898207 
bin_149	0	0	Donors shared	Clostridia	Clostridia bacterium OX=2044939 
bin_150	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_151	0	0	Donor1 specific	Firmicutes	Firmicutes bacterium CAG:555 OX=1263030 
bin_153	0	0	Donors shared	Phascolarctobacterium	Phascolarctobacterium succinatutens YIT 12067 OX=626939 
bin_155	0	4	Donor2 specific	Bacteroides	Bacteroides uniformis OX=820 
bin_158	0	0	Donors shared	Phascolarctobacterium	Phascolarctobacterium succinatutens YIT 12067 OX=626939 
bin_159	0	0	Donors shared	Ruminococcaceae	Ruminococcaceae bacterium D16 OX=552398 
bin_16	0	0	Donors shared	Veillonella	Veillonella tobetsuensis OX=1110546 
bin_161	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_162	0	0	Donor1 specific	Veillonella	Veillonella criceti OX=103891 
bin_163	0	1	Donors shared	Clostridiales	Clostridiales bacterium OX=1898207 
bin_165	0	0	Donors shared	methanogenic	Methanomassiliicoccales archaeon RumEn M2 OX=1713725 
bin_169	0	0	Donor1 specific	Lactobacillus	Lactobacillus mucosae OX=97478 
bin_17	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_172	0	0	Donor1 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_173	0	0	Donors shared	Blautia	uncultured Blautia sp. OX=765821 
bin_175	0	0	Donor1 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_176	0	0	Donors shared	Dorea	Dorea longicatena OX=88431 
bin_177	0	0	Donor1 specific	Ruminococcaceae	Ruminococcaceae bacterium OX=1898205 
bin_178	7	7	Donor2 specific	Alistipes	Alistipes timonensis JC136 OX=1033731 
bin_181	0	0	Donors shared	Planctomycetaceae	Planctomycetaceae bacterium OX=2026779 
bin_183	0	2	Donor2 specific	Bacteroides	Bacteroides uniformis OX=820 
bin_187	0	0	Donors shared	Clostridiales	Clostridiales bacterium OX=1898207 
bin_188	0	0	Donor1 specific	Bifidobacterium	Bifidobacterium pseudolongum subsp. pseudolongum OX=31954 
bin_19	0	0	Donor2 specific	Veillonella	Veillonella criceti OX=103891 
bin_190	0	0	Donors shared	Clostridium	Clostridium sp. CAG:1024 OX=1262770 
bin_192	0	0	Donors shared	Corynebacterium	Corynebacterium sp. DNF00584 OX=1384076 
bin_193	0	0	Donors shared	Firmicutes	Oscillibacter sp. OX=1945593 
bin_194	0	0	Donors shared	Escherichia	Escherichia coli OX=562 
bin_195	2	0	Donors shared	Ruthenibacterium	Ruthenibacterium lactatiformans OX=1550024 
bin_196	0	3	Donors shared	uncultured	uncultured Clostridium sp. OX=59620 
bin_2	0	0	Donors shared	Dorea	Dorea sp. CAG:317 OX=1262873 
bin_200	0	0	Donors shared	Veillonella	Veillonella tobetsuensis OX=1110546 
bin_203	0	0	Donors shared	Clostridiales	Clostridiales bacterium OX=1898207 
bin_205	0	0	Donors shared	Blautia	Blautia sp. CAG:257 OX=1262756 
bin_208	0	1	Donor1 specific	Prevotella	Prevotella sp. CAG:873 OX=1262936 
bin_209	0	0	Donors shared	Bilophila	Bilophila wadsworthia 3_1_6 OX=563192 
bin_21	2	9	Donor2 specific	Bacteroides	Bacteroides vulgatus OX=821 
bin_211	0	0	Donors shared	Lactobacillus	Lactobacillus reuteri OX=1598 
bin_214	0	1	Donors shared	Clostridiales	Clostridiales bacterium OX=1898207 
bin_215	0	0	Donor2 specific	Elusimicrobium	Elusimicrobium minutum (strain Pei191) OX=445932 
bin_216	0	0	Donors shared	Clostridium	Clostridium clostridioforme CAG:511 OX=1263066 
bin_218	0	0	Donors shared	Clostridia	Clostridia bacterium OX=2044939 
bin_221	0	0	Donor2 specific	Anaerococcus	Anaerococcus prevotii (strain ATCC 9321 / DSM 20548 / JCM 6508 / PC1) OX=525919 
bin_222	0	0	Donor1 specific	Evtepia	Evtepia gabavorous OX=2211183 
bin_223	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_224	0	1	Donor1 specific	Ruminococcaceae	Ruminococcaceae bacterium OX=1898205 
bin_226	3	8	Donor2 specific	Alistipes	Alistipes finegoldii (strain DSM 17242 / JCM 16770 / AHN 2437 / CCUG 46020 / CIP 107999) OX=679935 
bin_227	0	0	Donors shared	Escherichia	Escherichia coli OX=562 
bin_228	0	0	Donors shared	Firmicutes	Clostridiales bacterium OX=1898207 
bin_230	0	0	Donors shared	Lactobacillus	Lactobacillus amylovorus OX=1604 
bin_231	0	2	Donor2 specific	Ruminococcaceae	Ruminococcaceae bacterium OX=1898205 
bin_232	0	0	Donor1 specific	Ruminococcus	Ruminococcus sp. OX=41978 
bin_233	0	6	Donor1 specific	Alistipes	Alistipes sp. 3BBH6 OX=2585117 
bin_234	0	0	Donors shared	Methanomethylophilus	Methanomethylophilus alvus (strain Mx1201) OX=1236689 
bin_235	2	2	Donors shared	Muribaculaceae	Porphyromonadaceae bacterium OX=2049046 
bin_236	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_239	1	1	Donors shared	Porphyromonadaceae	Porphyromonadaceae bacterium OX=2049046 
bin_240	0	0	Donors shared	Lactobacillus	Lactobacillus pontis OX=35787 
bin_241	0	0	Donors shared	Clostridiales	Clostridiales bacterium OX=1898207 
bin_243	0	0	Donor1 specific	Bifidobacterium	Bifidobacterium boum OX=78343 
bin_244	0	2	Donor1 specific	Bacteroides	Bacteroides sp. CAG:709 OX=1262748 
bin_245	0	0	Donor2 specific	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_246	0	0	Donor2 specific	Veillonella	Veillonella criceti OX=103891 
bin_247	2	1	Donor2 specific	Prevotella	Prevotella sp. CAG:873 OX=1262936 
bin_249	0	0	Donor2 specific	Lactobacillus	Lactobacillus reuteri OX=1598 
bin_25	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_250	0	0	Donor2 specific	Lactobacillus	Lactobacillus reuteri OX=1598 
bin_253	1	0	Donor2 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_254	0	0	Donors shared	Clostridiales	Clostridiales bacterium OX=1898207 
bin_255	0	0	Donor1 specific	Bacteroides	Bacteroides sp. 43_108 OX=1896974 
bin_257	0	0	Donor2 specific	uncultured	uncultured Eubacterium sp. OX=165185 
bin_258	0	0	Donor1 specific	Rothia	Rothia nasimurium OX=85336 
bin_259	1	0	Donors shared	Ruminococcaceae	Ruminococcaceae bacterium D16 OX=552398 
bin_26	0	1	Donors shared	Clostridiales	Clostridiales bacterium OX=1898207 
bin_267	0	0	Donor1 specific	Rothia	Rothia nasimurium OX=85336 
bin_269	0	0	Donor1 specific	Alphaproteobacteria	Alphaproteobacteria bacterium OX=1913988 
bin_27	0	0	Donor2 specific	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_270	0	1	Donor2 specific	Subdoligranulum	Subdoligranulum variabile DSM 15176 OX=411471 
bin_271	1	3	Donor1 specific	Bacteroides	Porphyromonadaceae bacterium OX=2049046 
bin_277	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_278	0	0	Donor1 specific	Rothia	Rothia nasimurium OX=85336 
bin_28	0	0	Donors shared	methanogenic	methanogenic archaeon mixed culture ISO4-G1 OX=1452364 
bin_281	0	0	Donors shared	Clostridium	Clostridium clostridioforme CAG:511 OX=1263066 
bin_285	0	0	Donors shared	Collinsella	Collinsella sp. OX=1965294 
bin_286	0	0	Donors shared	Clostridiales	Clostridiales bacterium OX=1898207 
bin_287	0	0	Donors shared	Collinsella	Collinsella sp. OX=1965294 
bin_289	0	3	Donors shared	Bacteroides	Bacteroides sp. CAG:709 OX=1262748 
bin_29	0	0	Donor1 specific	Rothia	Rothia nasimurium OX=85336 
bin_290	0	0	Donors shared	Lactobacillus	Lactobacillus amylovorus OX=1604 
bin_291	0	0	Donor1 specific	Collinsella	Collinsella sp. OX=1965294 
bin_292	0	0	Donors shared	Ruminococcaceae	Ruminococcaceae bacterium OX=1898205 
bin_293	0	0	Donors shared	Lactobacillus	Lactobacillus reuteri OX=1598 
bin_294	0	0	Donors shared	Clostridium	Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19) OX=411468 
bin_295	0	0	Donors shared	Firmicutes	Tyzzerella sp. OX=2053632 
bin_297	0	0	Donor2 specific	Lactobacillus	Lactobacillus reuteri (strain ATCC 53608) OX=927703 
bin_298	0	0	Donors shared	Veillonella	Veillonella tobetsuensis OX=1110546 
bin_3	0	0	Donors shared	Firmicutes	Firmicutes bacterium CAG:176_63_11 OX=1897031 
bin_30	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_302	0	0	Donors shared	methanogenic	Methanomassiliicoccales archaeon RumEn M2 OX=1713725 
bin_303	0	3	Donors shared	Clostridium	Clostridium perfringens OX=1502 
bin_308	0	0	Donor1 specific	Desulfovibrio	Desulfovibrio piger ATCC 29098 OX=411464 
bin_309	0	0	Donors shared	Veillonella	Veillonella tobetsuensis OX=1110546 
bin_310	0	0	Donor1 specific	Lachnospiraceae	Lachnospiraceae bacterium OX=1898203 
bin_311	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_314	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_32	0	0	Donors shared	Clostridiales	Clostridiales bacterium OX=1898207 
bin_321	1	0	Donor2 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_322	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_323	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_324	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_325	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_327	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_33	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_334	0	2	Donor2 specific	Ruminococcaceae	Ruminococcaceae bacterium OX=1898205 
bin_336	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_337	1	0	Donor2 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_338	1	0	Donor2 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_342	0	0	Donors shared	Clostridium	Clostridium clostridioforme CAG:511 OX=1263066 
bin_344	1	0	Donor2 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_345	0	0	Donor1 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_348	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_349	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_350	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_351	1	0	Donor2 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_353	0	0	Donors shared	Lactobacillus	Lactobacillus amylovorus OX=1604 
bin_354	0	0	Donors shared	Mogibacterium	Mogibacterium diversum OX=114527 
bin_356	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_357	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_358	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_359	0	0	Donors shared	Lactobacillus	Lactobacillus amylovorus OX=1604 
bin_36	0	0	Donor1 specific	Blautia	uncultured Ruminococcus sp. OX=165186 
bin_360	0	0	Donor1 specific	Bifidobacterium	Bifidobacterium pseudolongum subsp. pseudolongum OX=31954 
bin_362	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_363	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_364	0	0	Donors shared	Clostridium	Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19) OX=411468 
bin_37	0	0	Donors shared	Methanomethylophilus	Methanomethylophilus alvus (strain Mx1201) OX=1236689 
bin_370	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_371	0	0	Donor1 specific	Chlamydia	Chlamydia suis OX=83559 
bin_373	0	0	Donors shared	Lactobacillus	Lactobacillus reuteri OX=1598 
bin_376	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_378	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_379	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_381	0	0	Donors shared	Lactobacillus	Lactobacillus reuteri OX=1598 
bin_384	0	0	Donor1 specific	Coriobacteriia	Coriobacteriia bacterium OX=2052159 
bin_387	0	0	Donors shared	Lactobacillus	Lactobacillus reuteri OX=1598 
bin_389	1	0	Donor2 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_39	3	5	Donors shared	Alistipes	Alistipes shahii WAL 8301 OX=717959 
bin_390	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_393	0	1	Donor2 specific	Subdoligranulum	Subdoligranulum variabile DSM 15176 OX=411471 
bin_397	0	0	Donors shared	Collinsella	Collinsella sp. OX=1965294 
bin_4	1	4	Donors shared	Clostridium	Clostridium perfringens OX=1502 
bin_40	0	0	Donors shared	Evtepia	Evtepia gabavorous OX=2211183 
bin_402	0	0	Donors shared	Lactobacillus	Lactobacillus pontis OX=35787 
bin_403	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_404	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_406	0	0	Donor1 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_409	0	4	Donor2 specific	Bacteroides	Bacteroides uniformis OX=820 
bin_41	1	5	Donors shared	Bacteroides	Bacteroides uniformis OX=820 
bin_410	0	0	Donors shared	Lactobacillus	Lactobacillus amylovorus OX=1604 
bin_413	0	0	Donors shared	Clostridium	Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19) OX=411468 
bin_414	0	0	Donors shared	Planctomycetaceae	Planctomycetaceae bacterium OX=2026779 
bin_415	0	0	Donors shared	Lactobacillus	Lactobacillus amylovorus OX=1604 
bin_418	0	0	Donors shared	Erysipelotrichaceae	Erysipelotrichaceae bacterium OX=2049044 
bin_42	2	4	Donor1 specific	Anaeromassilibacillus	Anaeromassilibacillus sp. An172 OX=1965570 
bin_422	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_423	0	0	Donors shared	Lactobacillus	Lactobacillus amylovorus OX=1604 
bin_424	0	2	Donors shared	Ruthenibacterium	Ruthenibacterium lactatiformans OX=1550024 
bin_425	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_426	0	0	Donors shared	uncultured	uncultured Eubacterium sp. OX=165185 
bin_429	0	0	Donors shared	Clostridium	Clostridium clostridioforme CAG:511 OX=1263066 
bin_43	0	2	Donor2 specific	Ruminococcaceae	Ruminococcaceae bacterium OX=1898205 
bin_431	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_435	0	0	Donors shared	Lactobacillus	Lactobacillus reuteri OX=1598 
bin_436	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_438	0	0	Donor1 specific	Streptococcus	Streptococcus henryi OX=439219 
bin_439	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_44	0	0	Donor1 specific	Corynebacterium	Corynebacterium frankenforstense DSM 45800 OX=1437875 
bin_441	0	0	Donors shared	Lactobacillus	Lactobacillus amylovorus OX=1604 
bin_443	0	0	Donors shared	Veillonella	Veillonella tobetsuensis OX=1110546 
bin_446	0	0	Donors shared	Clostridiales	Clostridiales bacterium OX=1898207 
bin_45	0	1	Donor2 specific	Subdoligranulum	Subdoligranulum variabile DSM 15176 OX=411471 
bin_451	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_452	0	0	Donors shared	Lactobacillus	Lactobacillus reuteri OX=1598 
bin_453	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_454	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_455	1	9	Donor1 specific	Bacteroides	Bacteroides fragilis OX=817 
bin_456	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_458	0	0	Donors shared	Lactobacillus	Lactobacillus amylovorus OX=1604 
bin_46	1	0	Donor2 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_460	0	0	Donors shared	Phascolarctobacterium	Phascolarctobacterium succinatutens YIT 12067 OX=626939 
bin_461	0	0	Donors shared	Lactobacillus	Lactobacillus reuteri OX=1598 
bin_462	1	0	Donor2 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_463	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_464	0	0	Donors shared	Clostridium	Clostridium clostridioforme CAG:511 OX=1263066 
bin_465	0	0	Donor2 specific	Ruminococcaceae	Ruminococcaceae bacterium OX=1898205 
bin_467	0	0	Donors shared	Clostridium	Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19) OX=411468 
bin_468	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_469	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_47	0	0	Donors shared	Megasphaera	Megasphaera elsdenii OX=907 
bin_473	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_475	0	0	Donors shared	Lactobacillus	Lactobacillus reuteri OX=1598 
bin_476	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_477	0	0	Donors shared	Lactobacillus	Lactobacillus amylovorus OX=1604 
bin_478	0	0	Donors shared	Lactobacillus	Lactobacillus amylovorus OX=1604 
bin_48	0	0	Donors shared	Clostridiales	Clostridiales bacterium OX=1898207 
bin_480	0	0	Donor2 specific	Lactobacillus	Lactobacillus coleohominis 101-4-CHN OX=575594 
bin_482	0	0	Donor2 specific	Gardnerella	Gardnerella vaginalis OX=2702 
bin_483	0	0	Donor1 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_484	0	0	Donors shared	Lactobacillus	Lactobacillus amylovorus OX=1604 
bin_485	0	1	Donors shared	Butyricimonas	Butyricimonas virosa OX=544645 
bin_486	0	1	Donor2 specific	Subdoligranulum	Subdoligranulum variabile DSM 15176 OX=411471 
bin_490	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_491	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_492	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_493	0	0	Donors shared	Lactobacillus	Lactobacillus reuteri OX=1598 
bin_494	0	0	Donor2 specific	Clostridiales	Clostridiales bacterium OX=1898207 
bin_497	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_498	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_499	0	0	Donors shared	Lactobacillus	Lactobacillus reuteri OX=1598 
bin_5	0	0	Donor1 specific	Rothia	Rothia nasimurium OX=85336 
bin_50	0	0	Donors shared	Clostridium	Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19) OX=411468 
bin_500	0	0	Donor1 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_501	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_502	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_508	0	0	Donors shared	Lactobacillus	Lactobacillus amylovorus OX=1604 
bin_511	1	0	Donor2 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_512	0	0	Donor1 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_514	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_519	0	0	Donors shared	Lactobacillus	Lactobacillus amylovorus OX=1604 
bin_520	0	0	Donors shared	Phascolarctobacterium	Phascolarctobacterium succinatutens YIT 12067 OX=626939 
bin_521	0	0	Donors shared	Lactobacillus	Lactobacillus reuteri OX=1598 
bin_523	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_525	1	0	Donor2 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_526	0	0	Donors shared	Clostridium	Clostridium clostridioforme CAG:511 OX=1263066 
bin_527	2	4	Donor2 specific	Bacteroides	Bacteroides intestinalis OX=329854 
bin_529	1	0	Donor2 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_530	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_533	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_534	0	0	Donors shared	Mogibacterium	Mogibacterium diversum OX=114527 
bin_536	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_538	0	0	Donors shared	Lactobacillus	Lactobacillus crispatus OX=47770 
bin_541	0	0	Donor1 specific	Blautia	Blautia sp. CAG:257 OX=1262756 
bin_542	1	0	Donor2 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_543	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_544	0	0	Donors shared	Lactobacillus	Lactobacillus reuteri OX=1598 
bin_546	0	5	Donors shared	Clostridium	Clostridium perfringens OX=1502 
bin_547	0	0	Donors shared	Lactobacillus	Lactobacillus amylovorus OX=1604 
bin_548	0	0	Donors shared	Erysipelotrichaceae	Erysipelotrichaceae bacterium OX=2049044 
bin_55	0	0	Donor1 specific	Bifidobacterium	Bifidobacterium choerinum OX=35760 
bin_555	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_559	0	0	Donor1 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_561	0	0	Donor1 specific	Mogibacterium	Mogibacterium diversum OX=114527 
bin_562	2	10	Donor2 specific	Bacteroides	Bacteroides vulgatus OX=821 
bin_563	0	0	Donor1 specific	Streptococcus	Streptococcus gallolyticus OX=315405 
bin_567	0	0	Donors shared	Collinsella	Collinsella sp. OX=1965294 
bin_568	0	0	Donors shared	Lactobacillus	Lactobacillus reuteri OX=1598 
bin_569	0	0	Donor1 specific	Anaerovibrio	Anaerovibrio sp. JC8 OX=1240085 
bin_570	0	1	Donor2 specific	Subdoligranulum	Subdoligranulum variabile DSM 15176 OX=411471 
bin_572	2	2	Donors shared	Clostridium	Clostridium perfringens OX=1502 
bin_578	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_58	0	0	Donor1 specific	[Actinobacillus]	[Actinobacillus] rossii OX=123820 
bin_581	0	1	Donor2 specific	Turicibacter	Turicibacter sanguinis PC909 OX=702450 
bin_61	2	10	Donor2 specific	Bacteroides	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 OX=1121098 
bin_63	0	0	Donor1 specific	Corynebacterium	Corynebacterium testudinoris OX=136857 
bin_64	0	0	Donors shared	Clostridium	Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19) OX=411468 
bin_65	1	1	Donors shared	Clostridiales	Clostridiales bacterium OX=1898207 
bin_68	0	0	Donor2 specific	Methanobrevibacter	Methanobrevibacter smithii DSM 2375 OX=483214 
bin_69	0	0	Donor1 specific	Lactobacillus	Lactobacillus mucosae OX=97478 
bin_72	0	0	Donors shared	Mogibacterium	Mogibacterium diversum OX=114527 
bin_75	0	0	Donors shared	Turicibacter	Turicibacter sanguinis OX=154288 
bin_76	0	0	Donors shared	Denitrobacterium	Denitrobacterium detoxificans OX=79604 
bin_77	0	0	Donors shared	uncultured	uncultured Eubacterium sp. OX=165185 
bin_78	0	0	Donors shared	Clostridium	Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19) OX=411468 
bin_79	1	1	Donor1 specific	Ruminococcaceae	Ruminococcaceae bacterium OX=1898205 
bin_8	1	1	Donors shared	Clostridiales	Clostridiales bacterium OX=1898207 
bin_85	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_88	0	0	Donor2 specific	Clostridiales	Clostridiales bacterium OX=1898207 
bin_89	0	1	Donor2 specific	Subdoligranulum	Subdoligranulum variabile DSM 15176 OX=411471 
bin_91	0	1	Donor1 specific	Bacteroidetes	Rikenellaceae bacterium OX=2049048 
bin_93	1	3	Donors shared	Porphyromonadaceae	Porphyromonadaceae bacterium OX=2049046 
bin_95	0	0	Donors shared	Clostridiales	Clostridiales bacterium OX=1898207 
bin_96	0	0	Donors shared	Corynebacterium	Corynebacterium xerosis OX=1725
